"","code","movie_title","point","review_cnt","keyword_cnt"
"1",151196,"원더",9.41,"1607",227
"2",106360,"위대한 쇼맨",9.38,"1607",227
"3",18847,"타이타닉",9.29,"1607",227
"4",31013,"빌리 엘리어트",9.28,"1607",227
"5",151752,"온리 더 브레이브",9.27,"1607",227
"6",172006,"젝스키스 에이틴",9.23,"1607",227
"7",151728,"코코",9.22,"1607",227
"8",144379,"러빙 빈센트",9.19,"1607",227
"9",152160,"킹 오브 프리즘 한국어판",9.18,"1607",227
"10",169349,"뽀로로 극장판 공룡섬 대모험",9.17,"1607",227
"11",146489,"패딩턴 2",9.11,"1607",227
"12",150687,"다키스트 아워",9.1,"1607",227
"13",151254,"비밥바룰라",9.09,"1607",227
"14",158610,"쓰리 빌보드",8.99,"1607",227
"15",158180,"그것만이 내 세상",8.96,"1607",227
"16",17255,"매디슨 카운티의 다리",8.91,"1607",227
"17",88495,"프렌즈: 몬스터 섬의 비밀",8.89,"1607",227
"18",168037,"12 솔져스",8.85,"1607",227
"19",154449,"리틀 포레스트",8.81,"1607",227
"20",159848,"더 포스트",8.79,"1607",227
"21",151744,"레드 스패로",8.79,"1607",227
"22",168298,"지금 만나러 갑니다",8.72,"1607",227
"23",157178,"나는 내일, 어제의 너와 만난다",8.69,"1607",227
"24",162153,"B급 며느리",8.59,"1607",227
"25",158626,"셰이프 오브 워터: 사랑의 모양",8.48,"1607",227
"26",164719,"플로리다 프로젝트",8.45,"1607",227
"27",66725,"명탐정 코난 : 감벽의 관",8.44,"1607",227
"28",118955,"월요일이 사라졌다",8.31,"1607",227
"29",144975,"패터슨",8.31,"1607",227
"30",146480,"덩케르크",8.3,"1607",227
"31",143390,"우리의 20세기",8.27,"1607",227
"32",154598,"50가지 그림자: 해방",8.06,"1607",227
"33",166583,"세 번째 살인",8,"1607",227
"34",158631,"허리케인 하이스트",7.96,"1607",227
"35",44354,"수면의 과학",7.95,"1607",227
"36",85579,"신과함께-죄와 벌",7.9,"1607",227
"37",137326,"블랙 팬서",7.55,"1607",227
"38",159862,"나미야 잡화점의 기적",7.48,"1607",227
"39",137958,"단지 세상의 끝",7.46,"1607",227
"40",158601,"툼레이더",7.42,"1607",227
"41",165026,"사라진 밤",7.24,"1607",227
"42",141206,"궁합",7.01,"1607",227
"43",165748,"조선명탐정: 흡혈괴마의 비밀",6.74,"1607",227
"44",153620,"치즈인더트랩",5.81,"1607",227
"45",158112,"골든슬럼버",5.43,"1607",227
"46",172005,"게이트",4.75,"1607",227
"47",162876,"120BPM",2.62,"1607",227
